city,city_ascii,lat,lng,country,region,capital,population,id
Fort Smith,Fort Smith,60,-111.8833,Canada,Northwest Territories,1124491408
Fort Severn,Fort Severn,55.9833,-87.65,Canada,Ontario,1124513059
Mont-Laurier,Mont-Laurier,46.5504,-75.5,Canada,Québec,1124355399
Channel-Port aux Basques,Channel-Port aux Basques,47.567,-59.15,Canada,Newfoundland and Labrador,1124993496
Kindersley,Kindersley,51.467,-109.1333,Canada,Saskatchewan,1124343190
Igloolik,Igloolik,69.2565,-81.7936,Canada,Nunavut,1124253277
Hudson Bay,Hudson Bay,52.8504,-102.3833,Canada,Saskatchewan,1124151446
Courtenay,Courtenay,49.6833,-125,Canada,British Columbia,1124324905
Mistassini,Mistassini,50.4171,-73.8666,Canada,Québec,1124591114
Kingston,Kingston,44.2337,-76.4833,Canada,Ontario,1124437097
Eastmain,Eastmain,52.2333,-78.5167,Canada,Québec,1124594875
Baie-Comeau,Baie-Comeau,49.2227,-68.158,Canada,Québec,1124859576
North Bay,North Bay,46.3,-79.45,Canada,Ontario,1124058496
North Battleford,North Battleford,52.7666,-108.2833,Canada,Saskatchewan,1124789635
Grise Fiord,Grise Fiord,76.4417,-82.95,Canada,Nunavut,1124072601
Hay River,Hay River,60.85,-115.7,Canada,Northwest Territories,1124721803
Stony Rapids,Stony Rapids,59.2666,-105.8333,Canada,Saskatchewan,1124279421
Hinton,Hinton,53.4,-117.5834,Canada,Alberta,1124131074
Toronto,Toronto,43.7,-79.42,Canada,Ontario,1124279679
Edmonton,Edmonton,53.55,-113.5,Canada,Alberta,1124290735
Gjoa Haven,Gjoa Haven,68.6333,-95.9167,Canada,Nunavut,1124942230
Fort Simpson,Fort Simpson,61.85,-121.3333,Canada,Northwest Territories,1124669512
Naujaat,Repulse Bay,66.5295,-86.2829,Canada,Nunavut,1124398936
Lethbridge,Lethbridge,49.7005,-112.8333,Canada,Alberta,1124321200
Sudbury,Sudbury,46.5,-80.9666,Canada,Ontario,1124539524
Swift Current,Swift Current,50.2837,-107.7666,Canada,Saskatchewan,1124460875
Regina,Regina,50.45,-104.617,Canada,Saskatchewan,1124342541
Cornwall,Cornwall,45.0171,-74.7333,Canada,Ontario,1124938303
Taloyoak,Taloyoak,69.5333,-93.5333,Canada,Nunavut,1124099415
Tuktoyaktuk,Tuktoyaktuk,69.4548,-133.0492,Canada,Northwest Territories,1124437778
London,London,42.97,-81.25,Canada,Ontario,1124469960
Natashquan,Natashquan,50.1913,-61.8107,Canada,Québec,1124631749
Cap-Chat,Cap-Chat,49.1,-66.6833,Canada,Québec,1124662875
Orillia,Orillia,44.6,-79.4167,Canada,Ontario,1124049830
Kenora,Kenora,49.7667,-94.4666,Canada,Ontario,1124844807
Barrie,Barrie,44.3838,-79.7,Canada,Ontario,1124340223
Sherbrooke,Sherbrooke,45.4,-71.9,Canada,Québec,1124559506
